Brand,Supplier,Digital person-in-charge,Category,Product Type,Normal Structure (MLP RRP),Normal Sales Structure UK,Spring Sale Structure 2025,Black Friday Structure 2024,Platinum Price,Normal Structure USA,Normal EU Structure,Last Updated UK,Last Updated USA,Last Updated EU,Free USA Shipping,Special Order Tickbox
3D Design,3D Japan,Nazreen (Previously Adibah),Performance,All,JPY RRP / 105 = GBP RRP excl. VAT,MLP UK Price Inc = 2% Off RRP,MLP UK Price Inc = 5% Off RRP,MLP UK Price Inc = 5% Off RRP,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",07.10.2024,07.10.2024,07.10.2024,,
3M,Autodoc,Nazreen,Hardware,All,"InterCar cost inc VAT < 1, Price inc VAT = Cost inc VAT * 7
InterCar cost inc VAT < 5, Price inc VAT = Cost inc VAT * 5
InterCar cost inc VAT < 10, Price inc VAT = Cost inc VAT * 2.5
Otherwise, MLP Price Inc VAT = InterCar cost inc VAT / 0.8",,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",01.07.2024,01.07.2024,01.07.2024,,
3Mk,Seven Distribution UK,-,Accessories,,"InterCar cost inc VAT < 1, Price inc VAT = Cost inc VAT * 7
InterCar cost inc VAT < 5, Price inc VAT = Cost inc VAT * 5
InterCar cost inc VAT < 10, Price inc VAT = Cost inc VAT * 2.5
Otherwise, MLP Price Inc VAT = InterCar cost inc VAT / 0.8",-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
3RG,3Rg Spain,Amanina,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
6Sixty Design,Evolve,-,Performance,All,,MLP UK Price Inc = 5% Off RRP,MLP UK Price Inc = 5% Off RRP,MLP UK Price Inc = 5% Off RRP,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
A.B.S.,Autodoc,Nazreen,Car Parts,All,,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Abakus,Autodoc,Nazreen,Car Parts,All,,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
ABE,Autodoc,Nazreen,Car Parts,inter,"InterCar cost inc VAT < 1, Price inc VAT = Cost inc VAT * 7
InterCar cost inc VAT < 5, Price inc VAT = Cost inc VAT * 5
InterCar cost inc VAT < 10, Price inc VAT = Cost inc VAT * 2.5
Otherwise, MLP Price Inc VAT = InterCar cost inc VAT / 0.8",,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",30.07.2024,30.07.2024,30.07.2024,,
Absaar,Autodoc,Nazreen,Car Parts,All,"InterCar cost inc VAT < 1, Price inc VAT = Cost inc VAT * 7
InterCar cost inc VAT < 5, Price inc VAT = Cost inc VAT * 5
InterCar cost inc VAT < 10, Price inc VAT = Cost inc VAT * 2.5
Otherwise, MLP Price Inc VAT = InterCar cost inc VAT / 0.8",-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Absina,Autodoc,Nazreen,Hardware,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
