Brand,Normal Structure (MLP RRP),RRP,Price
Polybush,"MLP UK RRP Inc VAT = RRP
MLP UK Price Inc VAT = 15% Off RRP",x,x X 0.15
POWERLINE,Cost Exc VAT / 0.9 X 1.2 = Price Inc VAT,x X 1.2 / 0.9,x X 1.2 / 0.9
Autobrite,Cost Exc VAT / 0.9 X 1.2 = Price Inc VAT ,x X 1.2 / 0.9,x X 1.2 / 0.9
Autodoc,Cost inc VAT X 1.14 X 0.97 = MLP Price inc VAT,x X 1.2 X 1.14 X 0.97,x X 1.2 X 1.14 X 0.97
BISON,5% Below Tanya's Website Price,x X 0.95,x X 0.96
Bluespark,RRP,x,x X 0.95
Castrol,Cost Exc VAT X 1.2 / 0.77 = Price Inc VAT,x X 1.2 / 0.77,x X 1.2 / 0.77
Jelly Belly,Cost inc VAT / 0.6 = MLP RRP inc VAT,x X 1.2 / 0.6,x X 1.2 / 0.6
TOTAL,Cost Exc VAT / 0.9 X 1.2 + £1 = Price Inc VAT ,x X 1.2 / 0.9 + 1,x X 1.2 / 0.9 + 1
JE pistons,MLP RRP Inc = MAR Motorsport RRP + GBP 10 ,x + 10,x + 10
EBC,Normal Price Inc VAT = (Cost Exc VAT / 0.75 X 1.2) + GBP 12.6 delivery fee,(x / 0.75 X 1.2) + 12.6,(x / 0.75 X 1.2) + 12.6
Nexsys Motorsport,RRP,x,x X 0.85
